Label,Module_CN,In_Data
Approved Goods,储存管理,True
Avoidance of Falling Foreign Objects,食品加工区域,True
Chemical Mark/Storage,化学品管理,True
Cross Contamination,食品加工区域,True
Customer Area,环境与客区,True
Devices for Monitoring the Temperatures of All Refrigerators and Freezers,温控管理,True
Disposable Gloves and Blue Bandages,清洁消毒,True
Employees' Health,人员卫生,True
Equipment Inspection and Maintenance,设备与工具,True
Equipment and Food Processing Utensils,设备与工具,True
Expiration Date,有效期管理,True
Facility Inspection and Maintenance,设备与工具,True
Food,有效期管理,True
Food Processing Area,食品加工区域,True
Government inspection,证照与规范,True
Grease traps&Residue traps&Sewer lines,水务与管道,True
Handwashing Standards,清洁消毒,True
Insect Pest Control Facilities & Suppliers,虫害防控,True
License Documents,证照与规范,True
Licenses and certificates,证照与规范,True
Lights,环境与客区,True
Material Storage Location Specification,储存管理,True
No Sign of Insect Pests,虫害防控,True
No pests enter,虫害防控,True
Operating Specifications,证照与规范,True
"Operation Stand, Shelf, Cabinet and Water Sink",食品加工区域,True
Personal Hygiene,人员卫生,True
Personal certificate,人员卫生,True
Potable Water Supply is Adequate,水务与管道,True
Procedures for Cleaning and Disinfection,清洁消毒,True
Product Storage Conditions,温控管理,True
Requirements,证照与规范,True
Storage and Inventory Transfer of Food,储存管理,True
Storage/Maintenance of Utensils,设备与工具,True
Trash Cans,环境与客区,True
Unqualified Goods,储存管理,True
Water Filtration Device,水务与管道,True
Water Sinks & Pipes,水务与管道,True
Workplace Safety,环境与客区,True
