City,Operational Management Area,Store serial number,Department code,Store name,Checklist number,Check category,Check items,Opportunity point description,Label,Opportunity point value,Deduction type,Check route,checker,Checker position,Voiding Approval Position,Voiding Submission Time,Voiding Approval Time,Report score,Store level,Check date,Check report generation time,Module_CN,Severity_Code,Severity_CN,Severity_Level,Month
New York City,Area 1,US00001,LKUS00000001,Times Square,CK-2026-1001,Store food safety self-check,Check: Personal certificate compliance requirement,Temperature log not completed for refrigerator,Personal certificate,-2,General,On-site check,Wang Fang,QA Inspector,,,,93,Pickup,2026-02-08,2026-02-08 11:08:00,人员卫生,G,G项,一般项,2026-02
New York City,Area 1,US00001,LKUS00000001,Times Square,CK-2026-1001,Store food safety self-check,Check: Storage/Maintenance of Utensils compliance requirement,No air gap in plumbing under sink,Storage/Maintenance of Utensils,-2,General,On-site check,Wang Fang,QA Inspector,,,,93,Pickup,2026-02-08,2026-02-08 11:08:00,设备与工具,G,G项,一般项,2026-02
New York City,Area 1,US00001,LKUS00000001,Times Square,CK-2026-1001,Store food safety self-check,Check: Government inspection compliance requirement,Food items stored directly on floor,Government inspection,-5,Important,On-site check,Wang Fang,QA Inspector,,,,93,Pickup,2026-02-08,2026-02-08 11:08:00,证照与规范,M,M项,重要项,2026-02
New York City,Area 1,US00001,LKUS00000001,Times Square,CK-2026-1001,Store food safety self-check,Check: Trash Cans compliance requirement,Food item past expiration date found in storage area,Trash Cans,-2,General,On-site check,Wang Fang,QA Inspector,,,,93,Pickup,2026-02-08,2026-02-08 11:08:00,环境与客区,G,G项,一般项,2026-02
New York City,Area 1,US00001,LKUS00000001,Times Square,CK-2026-1001,Store food safety self-check,Check: Storage and Inventory Transfer of Food compliance requirement,Cross contamination risk: raw and cooked food stored together,Storage and Inventory Transfer of Food,-1,Slight,On-site check,Wang Fang,QA Inspector,,,,93,Pickup,2026-02-08,2026-02-08 11:08:00,储存管理,L,L项,轻微项,2026-02
New York City,Area 1,US00001,LKUS00000001,Times Square,CK-2026-1001,Store food safety self-check,Check: Material Storage Location Specification compliance requirement,Floor not clean under the sink area,Material Storage Location Specification,-2,General,On-site check,Wang Fang,QA Inspector,,,,93,Pickup,2026-02-08,2026-02-08 11:08:00,储存管理,G,G项,一般项,2026-02
New York City,Area 1,US00002,LKUS00000002,Herald Square,CK-2026-1002,Store food safety audit,Check: License Documents compliance requirement,Handwashing station missing soap,License Documents,-1,Slight,On-site check,Zhang Wei,QA Inspector,,,,78,Relax,2026-02-12,2026-02-12 13:38:00,证照与规范,L,L项,轻微项,2026-02
New York City,Area 1,US00002,LKUS00000002,Herald Square,CK-2026-1002,Store food safety audit,Check: No pests enter compliance requirement,Personal items in food preparation area,No pests enter,-2,General,On-site check,Zhang Wei,QA Inspector,,,,78,Relax,2026-02-12,2026-02-12 13:38:00,虫害防控,G,G项,一般项,2026-02
New York City,Area 1,US00002,LKUS00000002,Herald Square,CK-2026-1002,Store food safety audit,Check: Food Processing Area compliance requirement,Employee health certificate expired,Food Processing Area,-1,Slight,On-site check,Zhang Wei,QA Inspector,,,,78,Relax,2026-02-12,2026-02-12 13:38:00,食品加工区域,L,L项,轻微项,2026-02
New York City,Area 1,US00002,LKUS00000002,Herald Square,CK-2026-1002,Store food safety audit,Check: Insect Pest Control Facilities & Suppliers compliance requirement,Floor not clean under the sink area,Insect Pest Control Facilities & Suppliers,0,Other,On-site check,Zhang Wei,QA Inspector,,,,78,Relax,2026-02-12,2026-02-12 13:38:00,虫害防控,O,其他,其他,2026-02
New York City,Area 1,US00002,LKUS00000002,Herald Square,CK-2026-1002,Store food safety audit,Check: Chemical Mark/Storage compliance requirement,Chemical storage area not properly labeled,Chemical Mark/Storage,-2,General,On-site check,Zhang Wei,QA Inspector,,,,78,Relax,2026-02-12,2026-02-12 13:38:00,化学品管理,G,G项,一般项,2026-02
New York City,Area 1,US00003,LKUS00000003,Bryant Park,CK-2026-1003,Store food safety audit,Check: Procedures for Cleaning and Disinfection compliance requirement,Food items stored directly on floor,Procedures for Cleaning and Disinfection,-1,Slight,On-site check,Li Ming,QA Inspector,,,,91,Pickup,2026-02-22,2026-02-22 12:44:00,清洁消毒,L,L项,轻微项,2026-02
New York City,Area 1,US00003,LKUS00000003,Bryant Park,CK-2026-1003,Store food safety audit,Check: Water Filtration Device compliance requirement,Cross contamination risk: raw and cooked food stored together,Water Filtration Device,-2,General,On-site check,Li Ming,QA Inspector,,,,91,Pickup,2026-02-22,2026-02-22 12:44:00,水务与管道,G,G项,一般项,2026-02
